"domain";"phylum";"class";"order";"family";"genus";"species"
"OTU_3645";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_3647";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA
"OTU_3649";"Bacteria";"Chloroflexota";"Anaerolineae";"Anaerolineales";"UBA6092";"UBA6092";NA
"OTU_36513";"Bacteria";"Acidobacteriota";"Holophagae";"Holophagales";"Holophagaceae";NA;NA
"OTU_36516";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"SCN-69-37";"SCN-69-37";NA
"OTU_36518";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Gaiellales";"Gaiellaceae";NA;NA
"OTU_36519";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";NA;NA
"OTU_36520";"Bacteria";"Armatimonadota";"BOG-944";"Capsulimonadales";"Capsulimonadaceae";"Capsulimonas";NA
"OTU_36525";"Bacteria";"Campylobacterota";"Campylobacteria";"Campylobacterales";"Sulfurovaceae";"Sulfurovum";NA
"OTU_36526";"Bacteria";"Chloroflexota";"Anaerolineae";"Anaerolineales";"Anaerolineaceae";NA;NA
"OTU_36527";"Bacteria";"Chloroflexota";"Ktedonobacteria";"Ktedonobacterales";"Ktedonobacteraceae";NA;NA
"OTU_36528";"Bacteria";"Chloroflexota";"Ktedonobacteria";"Ktedonobacterales";"Ktedonobacteraceae";"UBA11361";NA
"OTU_36529";"Bacteria";"Desulfobacterota_B";"Binatia";"UTPRO1";"DP-6";NA;NA
"OTU_3653";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";"Palsa-1150";NA
"OTU_36531";"Bacteria";"Desulfobacterota";"Desulfobacteria";"Desulfatiglandales";"NaphS2";"UBA5623";NA
"OTU_36532";"Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales";"Desulfovibrionaceae";NA;NA
"OTU_36535";"Bacteria";"Firmicutes_A";"Clostridia";"Clostridiales";"Clostridiaceae";"Clostridium_AD";NA
"OTU_36537";"Bacteria";"Omnitrophota";"Koll11";"UBA6215";"UBA6215";"2-02-FULL-50-19";NA
"OTU_36538";"Bacteria";"Patescibacteria";"ABY1";"BM507";"UBA12465";NA;NA
"OTU_36546";"Bacteria";"Planctomycetota";"Planctomycetes";"Planctomycetales";"Planctomycetaceae";"Schlesneria";NA
"OTU_36550";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_36551";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_36552";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"OTU_36555";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_36563";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Duganella";NA
"OTU_36564";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_36566";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";"Legionella_A";NA
"OTU_36568";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Cellvibrionaceae";NA;NA
"OTU_3657";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";"Sulfotelmatobacter";NA
"OTU_36570";"Bacteria";"Spirochaetota";"Spirochaetia";"Treponematales";"UBA8932";"UBA2256";NA
"OTU_36572";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"Parachlamydiaceae";"Protochlamydia";NA
"OTU_36576";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";"UBA11358";NA
"OTU_3658";"Bacteria";"Cyanobacteria";"Vampirovibrionia";"Obscuribacterales";"Obscuribacteraceae";NA;NA
"OTU_3660";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Paracaedibacterales";"UBA11393";"Finniella";NA
"OTU_3662";"Bacteria";"Myxococcota";"Myxococcia";"Myxococcales";"Myxococcaceae";NA;NA
"OTU_3667";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Rhizorhabdus";NA
"OTU_3668";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"UBA2999";"Gp6-AA56";NA
"OTU_36733";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_36734";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";"Sulfotelmatobacter";NA
"OTU_36735";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";NA;NA
"OTU_36739";"Bacteria";"Actinobacteriota";"Actinomycetia";"Streptosporangiales";"Streptosporangiaceae";NA;NA
"OTU_36740";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"70-9";"VAYN01";NA
"OTU_36741";"Bacteria";"Armatimonadota";"Fimbriimonadia";"Fimbriimonadales";"Fimbriimonadaceae";NA;NA
"OTU_36744";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_36745";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Hymenobacteraceae";"Hymenobacter";NA
"OTU_36748";"Bacteria";"Bdellovibrionota";"Oligoflexia";"Oligoflexales";"Bog-1112";"BOG-1112";NA
"OTU_36750";"Bacteria";"Chloroflexota";"Ktedonobacteria";"Ktedonobacterales";"Ktedonobacteraceae";"UBA11361";NA
"OTU_36753";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Nostocaceae";NA;NA
"OTU_36758";"Bacteria";"Desulfobacterota";"Syntrophobacteria";"Syntrophobacterales";"Syntrophobacteraceae";NA;NA
"OTU_36759";"Bacteria";"Firmicutes_B";"Syntrophomonadia";"Thermacetogeniales";"Palsa-1188";"Palsa-1188";NA
"OTU_36761";"Bacteria";"Patescibacteria";"Gracilibacteria";"UM-FILTER-43-11";"UM-FILTER-43-11";"FEN-1329";NA
"OTU_36772";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_36773";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_36774";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_36775";"Bacteria";"Planctomycetota";"Planctomycetes";"Pirellulales";"UBA1268";"QWPN01";NA
"OTU_36778";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_36782";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_36785";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_36786";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_36792";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"Parachlamydiaceae";NA;NA
"OTU_36797";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Chthoniobacterales";"UBA6821";"UBA6821";NA
"OTU_3681";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";NA;NA
"OTU_3689";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";"Bog-257";NA
"OTU_369";"Bacteria";"Bdellovibrionota";"Bacteriovoracia";"Bacteriovoracales";"Bacteriovoracaceae";NA;NA
"OTU_36933";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_36935";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";"Terracidiphilus";NA
"OTU_36936";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";"UBA7541";NA
"OTU_36940";"Bacteria";"Armatimonadota";"BOG-944";"Capsulimonadales";"Capsulimonadaceae";"Capsulimonas";NA
"OTU_36946";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_36947";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_36948";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Spirosomaceae";"Runella";NA
"OTU_3695";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_36950";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";NA;NA
"OTU_36951";"Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bdellovibrionales";"Bdellovibrionaceae";NA;NA
"OTU_36952";"Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bdellovibrionales";"Bdellovibrionaceae";"21-14-0-10-47-8";NA
"OTU_36955";"Bacteria";"Chloroflexota";"Ktedonobacteria";"Ktedonobacterales";"Ktedonobacteraceae";"UBA11361";NA
"OTU_36959";"Bacteria";"Cyanobacteria";"Vampirovibrionia";"Gastranaerophilales";"UBA9579";"GWF2-37-15";NA
"OTU_3696";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Chitinibacteraceae";"Iodobacter";NA
"OTU_36962";"Bacteria";"Dormibacterota";"Dormibacteria";"Dormibacterales";"Dormibacteraceae";NA;NA
"OTU_36963";"Bacteria";"Dormibacterota";"Dormibacteria";"Dormibacterales";"Dormibacteraceae";"CF-28";NA
"OTU_36964";"Bacteria";"Eisenbacteria";"RBG-16-71-46";"RBG-16-71-46";"RBG-16-71-46";"RBG-16-71-46";NA
"OTU_36966";"Bacteria";"Firmicutes_A";"Clostridia";"Acetivibrionales";"Acetivibrionaceae";NA;NA
"OTU_36968";"Bacteria";"Methylomirabilota";"Methylomirabilia";"Rokubacteriales";"GWA2-73-35";NA;NA
"OTU_3697";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";"Palsa-295";NA
"OTU_36971";"Bacteria";"Nitrospirota";"Thermodesulfovibrionia";"Thermodesulfovibrionales";"UBA9935";"Fen-1308";NA
"OTU_36976";"Bacteria";"Patescibacteria";"Saccharimonadia";"Saccharimonadales";"UBA4665";NA;NA
"OTU_36977";"Bacteria";"Patescibacteria";"Saccharimonadia";"Saccharimonadales";"UBA4665";NA;NA
"OTU_36987";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingorhabdus_A";NA
"OTU_36995";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Ferrovaceae";"PN-J185";NA
"OTU_36996";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";NA;NA
"OTU_36997";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Saccharospirillaceae";NA;NA
"OTU_36998";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Steroidobacterales";"Steroidobacteraceae";"13-2-20CM-66-19";NA
"OTU_37";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_370";"Bacteria";"Methylomirabilota";"Methylomirabilia";"Methylomirabilales";"2-02-FULL-66-22";"2-02-FULL-66-22";NA
"OTU_37001";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Chthoniobacterales";"UBA10450";"AV55";NA
"OTU_37003";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";NA;NA
"OTU_3703";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_3704";"Bacteria";"Armatimonadota";"BOG-944";"Capsulimonadales";"Capsulimonadaceae";"Capsulimonas";NA
"OTU_3705";"Bacteria";"Bdellovibrionota";"Oligoflexia";"Silvanigrellales";"Silvanigrellaceae";"Silvanigrella";NA
"OTU_3706";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";NA;NA
"OTU_3708";"Bacteria";"Actinobacteriota";"Actinomycetia";"Nanopelagicales";"Nanopelagicaceae";NA;NA
"OTU_3710";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Polynucleobacter";NA
"OTU_3718";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";NA;NA
"OTU_37184";"Bacteria";"Acidobacteriota";"UBA6911";"UBA6911";"UBA6911";"Gp18-AA60";NA
"OTU_37186";"Bacteria";"Actinobacteriota";"Actinomycetia";"Streptomycetales";"Streptomycetaceae";NA;NA
"OTU_37187";"Bacteria";"Actinobacteriota";"Coriobacteriia";"Coriobacteriales";"Eggerthellaceae";"CAG-1427";NA
"OTU_37189";"Bacteria";"Armatimonadota";"Fimbriimonadia";"Fimbriimonadales";"Fimbriimonadaceae";NA;NA
"OTU_37190";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_37192";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";"UTBCD1";NA
"OTU_37194";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Hymenobacteraceae";"Hymenobacter";NA
"OTU_37198";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Nostocaceae";NA;NA
"OTU_37199";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"PCC-6307";"Cyanobiaceae";NA;NA
"OTU_372";"Bacteria";"Dormibacterota";"Dormibacteria";"Dormibacterales";"Dormibacteraceae";"Palsa-872";NA
"OTU_3720";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_37202";"Bacteria";"Dependentiae";"Babeliae";"Babeliales";"Vermiphilaceae";"GWF2-30-66";NA
"OTU_37206";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
"OTU_37207";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
"OTU_37208";"Bacteria";"Omnitrophota";"Koll11";"GIF10";"UBA6249";NA;NA
"OTU_37209";"Bacteria";"Omnitrophota";"Koll11";"UBA6215";"UBA6215";"2-02-FULL-50-19";NA
"OTU_3721";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"UBA953";"UBA953";NA
"OTU_37216";"Bacteria";"Planctomycetota";"Planctomycetes";"Gemmatales";"Gemmataceae";NA;NA
"OTU_37217";"Bacteria";"Planctomycetota";"Planctomycetes";"Gemmatales";"Gemmataceae";"UBA969";NA
"OTU_37218";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"OTU_37227";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_37236";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_37238";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Polynucleobacter";NA
"OTU_37239";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Polynucleobacter";NA
"OTU_37243";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";"Legionella";NA
"OTU_37252";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"SM23-39";"PALSA-1448";NA
"OTU_373";"Bacteria";"Actinobacteriota";"Actinomycetia";"Streptomycetales";"Streptomycetaceae";"Streptomyces";NA
"OTU_3730";"Bacteria";"Desulfobacterota";"Desulfobulbia";"Desulfobulbales";"Desulfurivibrionaceae";"UBA2262";NA
"OTU_3733";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_3734";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_3736";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA;NA
"OTU_3740";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_3741";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Palsa-1439";"Palsa-1439";"Palsa-1439";NA
"OTU_37419";"Bacteria";"Actinobacteriota";"Actinomycetia";"Actinomycetales";"Microbacteriaceae";NA;NA
"OTU_37422";"Bacteria";"Actinobacteriota";"Actinomycetia";"Nanopelagicales";"Nanopelagicaceae";NA;NA
"OTU_37425";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_37426";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Cytophagaceae";"Cytophaga";NA
"OTU_37431";"Bacteria";"Bdellovibrionota";"Bdellovibrionia_A";"UBA1018";"UBA1018";NA;NA
"OTU_37433";"Bacteria";"Bdellovibrionota";"Oligoflexia";"Oligoflexales";"Bog-1112";"BOG-1112";NA
"OTU_37435";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Nostocaceae";NA;NA
"OTU_37438";"Bacteria";"Desulfobacterota_B";"Binatia";"Binatales";"Binataceae";"Binatus";NA
"OTU_37439";"Bacteria";"Desulfobacterota";"Desulfuromonadia";"Geobacterales";"Geobacteraceae";NA;NA
"OTU_3744";"Bacteria";"Actinobacteriota";"Actinomycetia";"Streptomycetales";"Streptomycetaceae";"Streptomyces";NA
"OTU_37441";"Bacteria";"Eisenbacteria";"RBG-16-71-46";"SZUA-252";"SZUA-252";"WS-7";NA
"OTU_37442";"Bacteria";"Firmicutes_A";"Clostridia";"Oscillospirales";"Oscillospiraceae";NA;NA
"OTU_3745";"Bacteria";"Nitrospirota";"Nitrospiria";"Nitrospirales";"Nitrospiraceae";"Palsa-1315";NA
"OTU_37450";"Bacteria";"Patescibacteria";"Paceibacteria";"UBA9983";"UBA5272";"UBA11704";NA
"OTU_37453";"Bacteria";"Planctomycetota";"Planctomycetes";"Gemmatales";"Gemmataceae";NA;NA
"OTU_37455";"Bacteria";"Planctomycetota";"Planctomycetes";"Gemmatales";"Gemmataceae";"UBA969";NA
"OTU_37467";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_37468";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"OTU_3747";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";NA;NA
"OTU_37483";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_37484";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";NA;NA
"OTU_37485";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Polynucleobacter";NA
"OTU_37487";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_37488";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Steroidobacterales";"Steroidobacteraceae";"13-2-20CM-66-19";NA
"OTU_37492";"Bacteria";"Verrucomicrobiota_A";"Chlamydiia";"Parachlamydiales";"SM23-39";"PALSA-1448";NA
"OTU_375";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_3750";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Azospirillales_A";"BOG-932";"BOG-932";NA
"OTU_3754";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";"UBA7541";NA
"OTU_3757";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhodomicrobiaceae";"Rhodomicrobium";NA
"OTU_3759";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";"VAZQ01";NA
"OTU_376";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_3762";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
"OTU_3764";"Bacteria";"Eremiobacterota";"Eremiobacteria";"UBP12";"UBA5184";"Palsa-1478";NA
"OTU_3766";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Mucilaginibacter";NA
"OTU_37664";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_37668";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Acidimicrobiales";"Microtrichaceae";"Microthrix";NA
"OTU_3767";"Bacteria";"Elusimicrobiota";"Elusimicrobia";"2-01-FULL-59-12";"2-01-FULL-59-12";"2-01-FULL-59-12";NA
"OTU_37670";"Bacteria";"Actinobacteriota";"Actinomycetia";"Actinomycetales";"Cellulomonadaceae";NA;NA
"OTU_37671";"Bacteria";"Actinobacteriota";"Actinomycetia";"Nanopelagicales";"Nanopelagicaceae";NA;NA
"OTU_37673";"Bacteria";"Actinobacteriota";"Actinomycetia";"Streptosporangiales";"Streptosporangiaceae";NA;NA
"OTU_37679";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Mucilaginibacter";NA
"OTU_37681";"Bacteria";"Bdellovibrionota";"Bdellovibrionia_A";"UBA1018";"UBA1018";NA;NA
"OTU_37685";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Nostocaceae";NA;NA
"OTU_37686";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Pseudanabaenales";"Pseudanabaenaceae";"PCC-6802";NA
"OTU_37687";"Bacteria";"Cyanobacteria";"Vampirovibrionia";"Obscuribacterales";"SBAT01";"SBAT01";NA
"OTU_37690";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"Gemmatimonadaceae";"Gemmatimonas";NA
"OTU_37696";"Bacteria";"Patescibacteria";"Paceibacteria";"2-02-FULL-40-12";"GWA2-44-9";"UBA12115";NA
"OTU_37697";"Bacteria";"Patescibacteria";"Paceibacteria";"Sungbacterales";"HO2-52-23";"WO2-54-10";NA
"OTU_377";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"UBA2999";"Gp6-AA56";NA
"OTU_3770";"Bacteria";"Patescibacteria";"Paceibacteria";"UBA9983";"UBA11359";"PALSA-1337";NA
"OTU_37703";"Bacteria";"Patescibacteria";"Paceibacteria";"UBA9983";"UBA5272";"UBA11704";NA
"OTU_37710";"Bacteria";"Patescibacteria";"Saccharimonadia";"Saccharimonadales";"UBA4665";"UBA5150";NA
"OTU_3772";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Acidimicrobiales";"RAAP-2";NA;NA
"OTU_37720";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_37724";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Magnetospirillaceae";"Telmatospirillum";NA
"OTU_37736";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Polynucleobacter";NA
"OTU_37738";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Coxiellales";"Coxiellaceae";NA;NA
"OTU_37739";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Cronobacter";NA
"OTU_37740";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_37741";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Psychrobacter";NA
"OTU_37748";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Chthoniobacterales";"Chthoniobacteraceae";"Chthoniobacter";NA
"OTU_37749";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";NA;NA
"OTU_3775";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_378";"Bacteria";"Dormibacterota";"Dormibacteria";"UBA8260";"UBA8260";"Palsa-851";NA
"OTU_3781";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Cyanobacteriales";"Nostocaceae";NA;NA
"OTU_3787";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";"Palsa-1150";NA
"OTU_3788";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidocella";NA
"OTU_3790";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Acidimicrobiales";"RAAP-2";"RAAP-2";NA
"OTU_3791";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Brevundimonas";NA
"OTU_37926";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";NA;NA
"OTU_37927";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Koribacteraceae";NA;NA
"OTU_37928";"Bacteria";"Acidobacteriota";"Acidobacteriae";"UBA7541";"UBA7541";"UBA7541";NA
"OTU_37930";"Bacteria";"Acidobacteriota";"Thermoanaerobaculia";"Thermoanaerobaculales";"Thermoanaerobaculaceae";"RBG-13-68-16";NA
"OTU_37931";"Bacteria";"Acidobacteriota";"UBA6911";"UBA6911";"UBA6911";"Gp18-AA60";NA
"OTU_37933";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"SCN-69-37";"SCN-69-37";NA
"OTU_37938";"Bacteria";"Actinobacteriota";"Actinomycetia";"Nanopelagicales";"Nanopelagicaceae";"Planktophila";NA
"OTU_3794";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";"Pedobacter";NA
"OTU_37942";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_37943";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";NA;NA
"OTU_37944";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Spirosomaceae";"Rudanella";NA
"OTU_37949";"Bacteria";"Chloroflexota";"Anaerolineae";"Anaerolineales";"EnvOPS12";NA;NA
"OTU_3795";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
"OTU_37950";"Bacteria";"Chloroflexota";"Dehalococcoidia";"Dehalococcoidales";"RBG-16-60-22";"Fen-1077";NA
"OTU_37954";"Bacteria";"Desulfobacterota";"Desulfobulbia";"Desulfobulbales";"Desulfurivibrionaceae";"UBA2262";NA
"OTU_37956";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";NA;NA
