"domain";"phylum";"class";"order";"family";"genus";"species"
"OTU_1027";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"MS024-2A";NA
"OTU_10273";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae";NA;NA
"OTU_10274";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Gaiellales";"Gaiellaceae";NA;NA
"OTU_1028";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Roseiarcus";NA
"OTU_10287";"Bacteria";"Acidobacteriota";"Holophagae";"Holophagales";"Holophagaceae";"Geothrix";NA
"OTU_10288";"Bacteria";"Acidobacteriota";"Vicinamibacteria";"Vicinamibacterales";"UBA2999";"Gp6-AA56";NA
"OTU_10293";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";"Lacunisphaera";NA
"OTU_10301";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"Sphingobacteriaceae";NA;NA
"OTU_10304";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"OTU_10305";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA;NA
"OTU_10306";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
"OTU_1031";"Bacteria";"Gemmatimonadota";"Gemmatimonadetes";"Gemmatimonadales";"Gemmatimonadaceae";"UBA4720";NA
"OTU_10316";"Bacteria";"Myxococcota";"Myxococcia";"Myxococcales";"Anaeromyxobacteraceae";"Anaeromyxobacter";NA
"OTU_10319";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";NA;NA
"OTU_1032";"Bacteria";"Bacteroidota";"Bacteroidia";"AKYH767";"Palsa-948";"Palsa-948";NA
"OTU_10326";"Bacteria";"Bdellovibrionota";"Bdellovibrionia_A";"UBA1018";"UBA1018";"GWA1-52-35";NA
"OTU_10327";"Bacteria";"Patescibacteria";"Saccharimonadia";"Saccharimonadales";"UBA4665";NA;NA
"OTU_10328";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";NA;NA
